Entidade detentora das participacoes,Tipo,Denominacoes,% Participacao/ interesse economico,Custo de Aquisicao,Ano aquisicao,Capital Social/Moeda,Accoes/Quotas (Total Entidade),N  de Accoes/Quotas detidas,Transaccoes,Emprestimos,Outros,Ano referencia,Entidade,Doc
IAPMEI,FCR,FCR ISQ Capital - ISQ Capital - Fundo de Investimento de Capital de Risco para Investidores Qualificados,,,,,,,,,,2015,IAPMEI,IAPMEI - Entidades Participadas 2015
IAPMEI,Sociedade,"LISGARANTE - Lisgarante - Sociedade de Garantia Mutua, SA",,,,,,,,,,2015,IAPMEI,IAPMEI - Entidades Participadas 2015
IAPMEI,Sociedade,NORGARANTE - NORGARANTE-Sociedade de Garantia Mutua S.A,,,,,,,,,,2015,IAPMEI,IAPMEI - Entidades Participadas 2015
IAPMEI,FCR,FCR Novabase Capital - NOVABASE CAPITAL - Fundo de Capital de Risco para Investidores Qualificados,,,,,,,,,,2015,IAPMEI,IAPMEI - Entidades Participadas 2015
IAPMEI,Sociedade,"PMEI - PME Investimentos - Sociedade de Investimento, SA",,,,,,,,,,2015,IAPMEI,IAPMEI - Entidades Participadas 2015
IAPMEI,Sociedade,"PV - PORTUGAL CAPITAL VENTURES - Sociedade de Capital de Risco, S.A.",,,,,,,,,,2015,IAPMEI,IAPMEI - Entidades Participadas 2015
IAPMEI,Sociedade,SPGM - SPGM-Sociedade de Investimento S.A.,,,,,,,,,,2015,IAPMEI,IAPMEI - Entidades Participadas 2015
Acionistas PVCI,FCR,Banco Europeu de Investimento,,15000000,,,,,,,,2016,PVCI,"PVCi SICAV - Shareholders as March, 31 2016"
Acionistas PVCI,FCR,Fundo de Sindicacao de Capital de Risco,,10625000,,,,,,,,2016,PVCI,"PVCi SICAV - Shareholders as March, 31 2016"
Acionistas PVCI,FCR,"Direccao Geral do Tesouro, Ministerio das Financas",,10625000,,,,,,,,2016,PVCI,"PVCi SICAV - Shareholders as March, 31 2016"
Acionistas PVCI,FCR,Bankinter SA,,10625000,,,,,,,,2016,PVCI,"PVCi SICAV - Shareholders as March, 31 2016"
Acionistas PVCI,FCR,Banco BPI,,10625000,,,,,,,,2016,PVCI,"PVCi SICAV - Shareholders as March, 31 2016"
Acionistas PVCI,FCR,Novo Banco,,10625000,,,,,,,,2016,PVCI,"PVCi SICAV - Shareholders as March, 31 2016"
Acionistas PVCI,FCR,Millenium BCP Participacoes,,10625000,,,,,,,,2016,PVCI,"PVCi SICAV - Shareholders as March, 31 2016"
Acionistas PVCI,FCR,Montepio Geral - Associacao Mutualista,,10625000,,,,,,,,2016,PVCI,"PVCi SICAV - Shareholders as March, 31 2016"
Acionistas PVCI,FCR,Caixagest,,10625000,,,,,,,,2016,PVCI,"PVCi SICAV - Shareholders as March, 31 2016"
Acionistas PVCI,FCR,Class C,,11330000,,,,,,,,2016,PVCI,"PVCi SICAV - Shareholders as March, 31 2016"
PVCI,FCR,"Explorer III - Fundo de Capital de Risco, FCR",11.09,13138270,,,,,,,,2016,PVCI,"PVCi SICAV - Investments as March 31, 2016"
PVCI,FCR,"Fundo Inter-Risco II, FCR",24.54,13525383,,,,,,,,2016,PVCI,"PVCi SICAV - Investments as March 31, 2016"
PVCI,FCR,Oxy Capital SCR SA,15.05,8564164,,,,,,,,2016,PVCI,"PVCi SICAV - Investments as March 31, 2016"
PVCI,FCR,"Pathena SCA, Sicar",35.85,3467235,,,,,,,,2016,PVCI,"PVCi SICAV - Investments as March 31, 2016"
PVCI,FCR,SC1 - Fundo de Capital de Risco,36.36,5286730,,,,,,,,2016,PVCI,"PVCi SICAV - Investments as March 31, 2016"
PVCI,FCR,Vallis Sustainable Investments I,20.13,9410433,,,,,,,,2016,PVCI,"PVCi SICAV - Investments as March 31, 2016"
